"filename", "language", "TypeScript", "Vue", "HTML", "Less", "CSS", "XML", "comment", "blank", "total"
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\MusicCover\recommendCover.vue", "Vue", 0, 101, 0, 0, 0, 0, 0, 1, 102
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\components\tools\ColorPick.vue", "Vue", 0, 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\env.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 3, 14
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\main.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 3, 1, 28
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\router\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\router\routes.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 1, 1, 109
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\recommend.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\type.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 4, 1, 63
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\store\user.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 5, 2, 83
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\utils\cookie.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\utils\directives.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\utils\timedata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Attention\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\customization.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\newestSongs.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\rankList.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\recommend.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 4, 81
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\singer.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\songsList.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\index.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 3, 111
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\type.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Home.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 4, 67
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\LiveStreaming\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\children\PhoneLogin.vue", "Vue", 0, 347, 0, 0, 0, 0, 0, 2, 349
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\children\QRcodeLogin.vue", "Vue", 0, 131, 0, 0, 0, 0, 0, 3, 134
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\index.vue", "Vue", 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\MusicVideo\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Podcast\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 749, 1733, 14, 179, 247, 34, 120, 161, 3237
